Country,GER-Primary,GER-Secondary,GER-Tertiary,Sub-Region,Region,top-resource-flag
Algeria,100,84.12,27.62,Northern Africa,Africa,14
Angola,100,26.56,4.91,Middle Africa,Africa,5
Azerbaijan,96.8,99.41,20.13,Western Asia,Asia,7
Bahrain,100,99.39,34.54,Western Asia,Asia,20
Bhutan,100,63.62,7.11,Southern Asia,Asia,12
Brunei Darussalam,100,99.23,18.6,South-Eastern Asia,Asia,11
Burkina Faso,73.42,20.76,3.46,Western Africa,Africa,27
Burundi,100,21.92,2.87,Eastern Africa,Africa,29
Cameroon,100,38.98,8.07,Middle Africa,Africa,40
Central African Republic,79.65,16.28,2.27,Middle Africa,Africa,36
Chad,81.7,19.75,2.05,Middle Africa,Africa,13
Chile,100,96.45,64.68,South America,Americas,24
Ecuador,100,78.88,39.68,South America,Americas,28
Eritrea,58.45,31.83,1.96,Eastern Africa,Africa,21
Ethiopia,89,31.25,5.68,Eastern Africa,Africa,33
Ghana,100,55.25,9.84,Western Africa,Africa,18
Niger,59.47,13.03,1.29,Western Africa,Africa,26
Guinea,84.39,33.51,7.96,Western Africa,Africa,16
Guinea-Bissau,100,31.59,2.33,Western Africa,Africa,22
Guyana,89.87,90.1,12.98,South America,Americas,17
Iraq,100,50.54,15.99,Western Asia,Asia,2
Kazakhstan,100,100.81,50.41,Central Asia,Asia,10
Kuwait,100,97.73,23.7,Western Asia,Asia,1
Liberia,96.69,41.52,10.47,Western Africa,Africa,9
Madagascar,100,30.5,3.45,Eastern Africa,Africa,38
Malawi,100,32.24,0.57,Eastern Africa,Africa,34
Mali,78.36,34.04,6.09,Western Africa,Africa,32
Mauritania,94.17,23.49,4.08,Western Africa,Africa,4
Mongolia,100,91.33,52.24,Eastern Asia,Asia,15
Mozambique,100,20.14,3.92,Eastern Africa,Africa,31
Myanmar,98.09,47.01,12.75,South-Eastern Asia,Asia,39
Nigeria,92.75,36.16,10.13,Western Africa,Africa,35
Oman,99.26,94.34,22.23,Western Asia,Asia,6
Qatar,98.18,101.38,13.65,Western Asia,Asia,8
Russian Federation,98.18,88.99,74.98,Eastern Europe,Europe,25
Saudi Arabia,99.82,97.63,38.34,Western Asia,Asia,3
Trinidad and Tobago,100,85.51,11.95,Caribbean,Americas,23
Turkmenistan,89.37,85.34,7.98,Central Asia,Asia,19
Uganda,100,24.31,3.94,Eastern Africa,Africa,37
Uzbekistan,99.07,93.36,10.4,Central Asia,Asia,30
