Country,Sub Region,Region,GER - Primary - Capped to 100 pc,GER - Secondary - Capped to 100 pc,"Gross enrolment ratio, tertiary, both sexes (%)",Resource Dependence,GDP per capita
Afghanistan,Southern Asia,Asia,100,42.02758364,4.39455,1.7,633.9478643
Albania,Southern Europe,Europe,100,85.78285909,40.37731364,5.4,4588.64944
Algeria,Northern Africa,Africa,100,84.11580125,27.616983,23.1,5484.066806
Angola,Middle Africa,Africa,100,26.5567675,4.906014,32.7,5232.690501
Antigua and Barbuda,Caribbean,Americas,100,100,17.2241525,..,13432.07921
Argentina,South America,Americas,100,98.754833,71.123109,3.6,12324.93879
Armenia,Western Asia,Asia,100,92.912765,44.55674818,3.3,3873.533566
Aruba,Caribbean,Americas,100,98.71886,31.01592818,0,0
Australia,Australia and New Zealand,Oceania,100,100,77.403344,7.1,61995.8297
Austria,Western Europe,Europe,100,99.33768182,62.26673909,0.4,51148.35888
Azerbaijan,Western Asia,Asia,96.79716182,99.41339556,20.13395889,28.7,7886.459144
Bahrain,Western Asia,Asia,,99.39016667,34.53808833,19.9,24855.21564
Bangladesh,Southern Asia,Asia,100,49.157147,9.551788889,3.1,1086.800087
Barbados,Caribbean,Americas,98.06113556,100,67.6766525,0.6,15366.29261
Belarus,Eastern Europe,Europe,100,100,77.60139818,1.9,8025.304356
Belgium,Western Europe,Europe,100,100,66.14276909,0.1,47299.86011
Belize,Central America,Americas,100,76.90913545,20.04836,3.9,4884.36862
Benin,Western Africa,Africa,100,43.82829,9.826818,4.7,903.464924
Bermuda,Northern America,Americas,92.52059125,77.230235,29.22635444,..,0
Bhutan,Southern Asia,Asia,100,63.618599,7.10957,25.1,2560.522132
Bolivia,South America,Americas,100,84.38580125,38.74265,12.6,3124.080762
Bosnia and Herzegovina,Southern Europe,Europe,99.7787325,88.8455675,36.15189182,1.5,4851.660528
Botswana,Southern Africa,Africa,100,80.824245,16.51165364,2.7,7153.444325
Brazil,South America,Americas,100,98.116725,36.12668625,5,11728.79939
Brunei Darussalam,South-Eastern Asia,Asia,100,99.22999545,18.59538273,25.9,40979.64194
Bulgaria,Eastern Europe,Europe,100,92.69074364,54.97453636,1.9,7851.265428
Burkina Faso,Western Africa,Africa,73.42326,20.75846182,3.459142222,15.9,713.4564416
Burundi,Eastern Africa,Africa,100,21.924422,2.872466,14.2,286.0023359
Cabo Verde,Western Africa,Africa,100,83.20753727,14.53753455,0.6,3641.107656
Cambodia,South-Eastern Asia,Asia,100,39.5957675,8.73796875,4,1094.576688
Cameroon,Middle Africa,Africa,100,38.980229,8.07153625,9.9,1407.403413
Canada,Northern America,Americas,98.674181,100,,4.6,50185.4815
Central African Republic,Middle Africa,Africa,79.64625556,16.27813,2.267068571,11.9,351.994226
Chad,Middle Africa,Africa,81.700646,19.74859444,2.050557143,23.9,1024.668354
Chile,South America,Americas,100,96.45214,64.67507909,16.2,14566.14905
China,Eastern Asia,Asia,100,83.89409333,24.32751545,4,7587.289732
Colombia,South America,Americas,100,94.50607091,38.41912091,8.4,7918.0789
Comoros,Eastern Africa,Africa,100,51.361255,7.09638,3.4,810.07576
Congo,Middle Africa,Africa,100,50.21838,8.956995,48.2,#N/A
Costa Rica,Central America,Americas,100,99.30841,45.366542,1.3,10415.45665
Croatia,Southern Europe,Europe,96.32787667,98.21528667,52.215752,1.7,13480.65075
Cuba,Caribbean,Americas,99.89863455,93.26521818,80.30899727,3.2,0
