country,subRegion,enrolPrimary,enrolSecondary,enrolTertiary,recourceDep,gdpPerCap,poverty,gini
Malawi,Eastern Africa,100,32.23570818,0.56925,12.5,362.2474866,70.91,46.1
Niger,Western Africa,59.47054,13.02832909,1.286798889,16.1,431.3816821,50.34,31.5
Eritrea,Eastern Africa,58.453815,31.833711,1.960575,19.2,,,
Chad,Middle Africa,81.700646,19.74859444,2.050557143,23.9,1024.668354,38.43,43.3
Central African Republic,Middle Africa,79.64625556,16.27813,2.267068571,11.9,351.994226,66.27,56.2
Guinea-Bissau,Western Africa,100,31.58688,2.334575,17.7,615.9409222,67.08,50.7
Gambia,Western Africa,87.081353,58.04269333,2.46131,7.1,441.293817,45.29,47.3
United Republic of Tanzania,Eastern Africa,100,32.54823,2.487238,6.1,954.618988,46.6,
Burundi,Eastern Africa,100,21.924422,2.872466,14.2,286.0023359,77.65,33.4
Djibouti,Eastern Africa,57.02936,32.877506,2.98280125,3.2,1813.596226,18.32,45.1
Kenya,Eastern Africa,100,55.04828,3.3115,2.9,1368.491132,33.6,47.7
Seychelles,Eastern Africa,100,76.607054,3.33308,0.1,15563.79422,0.37,42.8
Madagascar,Eastern Africa,100,30.50042375,3.452818,10.9,467.1303343,81.76,40.6
Burkina Faso,Western Africa,73.42326,20.75846182,3.459142222,15.9,713.4564416,55.29,39.8
Mozambique,Eastern Africa,100,20.13985364,3.917388889,13.6,622.6380644,68.74,45.6
Uganda,Eastern Africa,100,24.31321667,3.940468333,11.3,714.5673565,33.24,42.4
Mauritania,Western Africa,94.17134455,23.487829,4.082395,33.6,1370.985212,10.91,37.5
Rwanda,Eastern Africa,100,27.80570182,4.810999,6.1,697.6265013,60.25,50.8
Angola,Middle Africa,100,26.5567675,4.906014,32.7,5232.690501,30.13,42.7
Swaziland,Southern Africa,100,54.58287444,5.189848,1.9,3477.149246,42.03,51.5
Ethiopia,Eastern Africa,88.996228,31.25239667,5.6821025,12.7,573.5659603,33.54,33.2
Zimbabwe,Eastern Africa,100,47.121685,5.867445,9.6,931.1981847,,50.1
Mali,Western Africa,78.35844909,34.038696,6.087778,13,842.1143372,49.25,33
Democratic Republic of the Congo,Middle Africa,98.2635525,39.87690625,6.166135714,38.1,437.8149312,77.18,42.1
Senegal,Western Africa,80.662156,28.523055,6.433152857,4.4,1067.131753,37.98,40.3
Sao Tome and Principe,Middle Africa,100,53.672497,6.5625225,2.4,1810.721562,33.89,30.8
Comoros,Eastern Africa,100,51.361255,7.09638,3.4,810.07576,13.47,64.3
Namibia,Southern Africa,100,63.9093725,7.586863333,2.4,5342.94446,22.6,61.3
Lesotho,Southern Africa,100,46.43976455,7.67364,5.6,1034.185288,59.65,54.2
Guinea,Western Africa,84.38803091,33.51283,7.962311818,21.9,539.615775,35.27,33.7
Cameroon,Middle Africa,100,38.980229,8.07153625,9.9,1407.403413,29.27,42.8
Togo,Western Africa,100,46.675346,8.636308571,7.8,629.9976439,54.18,46
Congo,Middle Africa,100,50.21838,8.956995,48.2,3147.071524,28.71,40.2
Benin,Western Africa,100,43.82829,9.826818,4.7,903.464924,53.11,43.5
Ghana,Western Africa,100,55.246055,9.83655,21.1,1441.636453,25.15,42.8
Nigeria,Western Africa,92.74865857,36.15594,10.12924,12.5,3203.244296,53.47,43
Liberia,Western Africa,96.690112,41.515135,10.468725,28.1,457.8585865,68.64,36.5
Sudan,Northern Africa,67.377953,38.459333,13.904755,6.4,1875.843287,14.92,35.4
Cabo Verde,Western Africa,100,83.20753727,14.53753455,0.6,3641.107656,17.57,42.7
Morocco,Northern Africa,100,57.96607556,15.49204364,2.7,3190.310444,3.12,40.7
Botswana,Southern Africa,100,80.824245,16.51165364,2.7,7153.444325,18.24,60.5
South Africa,Southern Africa,98.29602455,90.94485636,19.32843,7.6,6472.101027,16.56,63.4
Algeria,Northern Africa,100,84.11580125,27.616983,23.1,5484.066806,,35.3
Egypt,Northern Africa,100,79.74733429,29.43450364,8.5,3365.707421,,30.8
Mauritius,Eastern Africa,100,90.12170182,30.26666273,,10002.87048,0.53,35.8
Tunisia,Northern Africa,100,88.762958,33.58702,5.2,4328.904197,1.99,35.8
Somalia,Eastern Africa,29.2021,7.35304,,14.6,542.615884,,
South Sudan,Eastern Africa,84.24507,,,,1115.093515,,45.5
Equatorial Guinea,Middle Africa,84.27053833,27.37131,,43.3,18918.27683,,
Sierra Leone,Western Africa,100,45.63831667,,7.5,792.5835504,52.33,34
Libya,Northern Africa,100,98.20936,,36.8,6573.386737,,
Gabon,Middle Africa,100,,,37.4,10772.06175,7.97,41.5
Zambia,Eastern Africa,100,,,16.1,1725.974549,64.43,55.6
